Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
pork-shoulder-(arm-picnic-lean-only-cured-roasted),170,7.04g,2.36g,0,0.81g,3.23g,48mg,1231mg,0g,0g,0g,24.94g,0,11mg,1.08mg,292mg,0mcg,0mg
pork-shoulder-(blade-roll-cured),269,21.98g,7.939g,0,2.334g,9.755g,53mg,1250mg,0g,0g,0,16.47g,0,7mg,0.82mg,295mg,0mcg,0.3mg
pork-shoulder-(blade-roll-cured-roasted),287,23.48g,8.38g,0,2.51g,11.03g,67mg,973mg,0.37g,0g,0,17.28g,0,7mg,0.89mg,194mg,0mcg,3.2mg
pork-shoulder-(whole-cooked-roasted),292,21.39g,7.86g,0,2.05g,9.47g,90mg,68mg,0g,0g,0g,23.28g,0,24mg,1.32mg,329mg,2mcg,0.5mg
pork-shoulder-(whole-lean-only),148,7.14g,2.47g,0,0.77g,3.23g,67mg,76mg,0g,0g,0,19.55g,0,14mg,1.22mg,341mg,2mcg,0.8mg
pork-shoulder-(whole-lean-only-cooked-roasted),230,13.54g,4.79g,0,1.25g,6.17g,90mg,75mg,0g,0g,0g,25.33g,0,18mg,1.5mg,346mg,2mcg,0.6mg
pork-shoulder-roasts-or-steaks-(boston-blade),218,15.82g,5.48g,0,1.69g,7.06g,71mg,63mg,0g,0g,0,17.66g,0,25mg,1.12mg,313mg,2mcg,0.7mg
pork-shoulder-roasts-(boston-blade-cooked-roasted),269,18.86g,6.97g,0,1.76g,8.27g,86mg,67mg,0g,0g,0g,23.11g,0,28mg,1.45mg,332mg,2mcg,0.7mg
pork-shoulder-roasts-(boston-blade-lean-only-cooked-roasted),232,14.3g,5.19g,0,1.29g,6.34g,85mg,88mg,0g,0g,0g,24.21g,0,27mg,1.56mg,427mg,3mcg,1mg
pork-shoulder-roasts-or-steaks-(boston-blade-lean-only),155,8g,2.76g,0,0.86g,3.61g,68mg,70mg,0g,0g,0g,19.37g,0,22mg,1.25mg,342mg,2mcg,0.8mg
pork-shoulder-steaks-(boston-blade-cooked-braised),319,21.74g,7.94g,0,1.98g,9.6g,113mg,70mg,0g,0g,0g,28.67g,0,32mg,1.83mg,389mg,3mcg,0.3mg
pork-shoulder-steaks-(boston-blade-cooked-broiled),259,16.61g,5.95g,0,1.46g,7.42g,95mg,69mg,0g,0g,0g,25.58g,0,36mg,1.4mg,326mg,3mcg,0.3mg
pork-shoulder-steaks-(boston-blade-lean-only-cooked-braised),273,15.55g,5.51g,0,1.33g,6.99g,116mg,75mg,0g,0g,0g,31.09g,0,29mg,2.05mg,412mg,3mcg,0.4mg
pork-shoulder-steaks-(boston-blade-lean-only-cooked-broiled),227,12.54g,4.45g,0,1.08g,5.64g,94mg,74mg,0g,0g,0g,26.74g,0,33mg,1.56mg,343mg,2mcg,0.3mg
pork-skins,545,31.3g,11.37g,0,3.64g,14.78g,95mg,1838mg,0g,0g,0g,61.3g,0,30mg,0.88mg,127mg,12mcg,0.5mg
