Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
beef-top-round-(lean-only-trimmed-to-1-8-fat-select-grade),129,3.37g,1.154g,0,0.145g,1.42g,46mg,64mg,0g,0g,0g,23.13g,0,22mg,1.97mg,373mg,0mcg,0mg
beef-top-round-(trimmed-to-0-fat-cooked-braised),209,6.31g,2.25g,0,0.27g,2.51g,90mg,45mg,0g,0g,0g,35.62g,0,4mg,3.27mg,330mg,0mcg,0mg
beef-top-round-(trimmed-to-0-fat-choice-grade-cooked-braised),216,7.09g,2.52g,0,0.31g,2.82g,90mg,45mg,0g,0g,0,35.62g,0,4mg,3.27mg,330mg,0mcg,0mg
beef-top-round-(trimmed-to-0-fat-select-grade-cooked-braised),200,5.33g,1.92g,0,0.23g,2.13g,90mg,45mg,0g,0g,0,35.62g,0,4mg,3.27mg,330mg,0mcg,0mg
beef-top-round-(trimmed-to-0-fat-cooked-broiled),186,5.89g,2.116g,0,0.222g,2.493g,66mg,41mg,0g,0g,0g,31.61g,0,7mg,2.53mg,252mg,0mcg,0mg
beef-top-round-(trimmed-to-0-fat-choice-grade-cooked-broiled),200,7.17g,2.578g,0,0.27g,3.037g,80mg,42mg,0g,0g,0g,31.57g,0,7mg,2.67mg,260mg,0mcg,0mg
beef-top-round-(lean-only-trimmed-to-1-8-fat-select-grade-cooked-broiled),177,4.65g,1.602g,0,0.188g,1.944g,61mg,43mg,0g,0g,0g,31.61g,0,7mg,2.66mg,270mg,0mcg,0mg
beef-top-round-(trimmed-to-0-fat-select-grade-cooked-broiled),177,4.6g,1.654g,0,0.173g,1.949g,51mg,42mg,0g,0g,0g,31.65g,0,8mg,2.53mg,257mg,0mcg,0mg
beef-top-round-(trimmed-to-1-2-fat-prime-grade),188,10.56g,4.28g,0,0.44g,4.52g,60mg,50mg,0g,0g,0,21.81g,0,4mg,2mg,362mg,0mcg,0mg
beef-top-round-(trimmed-to-1-4-fat-choice-grade-cooked-pan-fried),277,15.37g,5.29g,0,1.75g,5.87g,97mg,68mg,0g,0g,0g,32.38g,0,6mg,2.92mg,470mg,0mcg,0mg
beef-top-round-(trimmed-to-1-4-fat-cooked-braised),248,11.43g,4.32g,0,0.47g,4.72g,90mg,45mg,0g,0g,0g,33.83g,0,5mg,3.12mg,315mg,0mcg,0mg
beef-top-round-(trimmed-to-1-4-fat-choice-grade-cooked-braised),260,12.88g,4.86g,0,0.53g,5.32g,90mg,45mg,0g,0g,0,33.58g,0,5mg,3.09mg,312mg,0mcg,0mg
beef-top-round-(trimmed-to-1-2-fat-prime-grade-cooked-broiled),237,11.69g,4.32g,0,0.52g,4.78g,85mg,60mg,0g,0g,0,30.73g,0,6mg,2.8mg,427mg,0mcg,0mg
beef-top-round-(trimmed-to-1-4-fat-prime-grade),180,9.46g,3.63g,0,0.4g,3.94g,59mg,51mg,0g,0g,0,22.06g,0,3mg,2.02mg,367mg,0mcg,0mg
beef-top-round-(trimmed-to-1-4-fat-prime-grade-cooked-broiled),229,10.71g,3.86g,0,0.49g,4.28g,84mg,60mg,0g,0g,0,31.06g,0,6mg,2.83mg,432mg,0mcg,0mg
beef-top-round-(trimmed-to-1-4-fat-select-grade-cooked-braised),234,9.86g,3.73g,0,0.4g,4.08g,90mg,45mg,0g,0g,0g,34.09g,0,5mg,3.14mg,317mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat),166,7.93g,3.123g,0,0.303g,3.428g,40mg,60mg,0g,0g,0g,22.06g,0,21mg,1.85mg,349mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-choice-grade),168,8.19g,3.224g,0,0.313g,3.538g,41mg,57mg,0g,0g,0g,21.94g,0,17mg,1.97mg,341mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-choice-grade-cooked-braised),250,11.61g,4.33g,0,0.48g,4.76g,90mg,45mg,0g,0g,0,34.09g,0,5mg,3.14mg,317mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-choice-grade-cooked-broiled),224,10.27g,3.898g,0,0.396g,4.379g,66mg,40mg,0g,0g,0g,30.7g,0,7mg,2.54mg,248mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-choice-grade-cooked-pan-fried),266,13.83g,4.64g,0,1.72g,5.18g,97mg,68mg,0g,0g,0,32.99g,0,6mg,2.97mg,480mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-cooked-braised),238,10.13g,3.78g,0,0.42g,4.15g,90mg,45mg,0g,0g,0g,34.34g,0,5mg,3.16mg,319mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-cooked-broiled),212,9g,3.415g,0,0.347g,3.837g,58mg,41mg,0g,0g,0g,30.67g,0,7mg,2.53mg,252mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-select-grade),164,7.68g,3.023g,0,0.293g,3.317g,38mg,63mg,0g,0g,0g,22.18g,0,25mg,1.74mg,357mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-select-grade-cooked-braised),225,8.54g,3.2g,0,0.35g,3.51g,90mg,45mg,0g,0g,0,34.6g,0,4mg,3.18mg,321mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-prime-grade),173,8.67g,3.3g,0,0.38g,3.59g,59mg,51mg,0g,0g,0,22.24g,0,3mg,2.04mg,371mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-prime-grade-cooked-broiled),225,10.1g,3.61g,0,0.46g,4.01g,84mg,61mg,0g,0g,0,31.27g,0,6mg,2.84mg,436mg,0mcg,0mg
beef-top-round-(trimmed-to-1-8-fat-select-grade-cooked-broiled),201,7.73g,2.933g,0,0.298g,3.296g,49mg,41mg,0g,0g,0g,30.63g,0,8mg,2.52mg,256mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-0-fat-choice-grade-cooked-broiled),188,6.55g,2.495g,0,0.241g,2.615g,66mg,63mg,0g,0g,0g,30.29g,0,17mg,2.07mg,380mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-1-4-fat-choice-grade-cooked-pan-fried),238,10.97g,4.02g,0,1.51g,4.43g,99mg,77mg,0g,0g,0g,32.48g,0,11mg,3.9mg,465mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-0-fat-cooked-broiled),183,5.79g,2.205g,0,0.213g,2.31g,58mg,64mg,0g,0g,0g,30.55g,0,20mg,1.96mg,393mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-0-fat-select-grade-cooked-broiled),177,5.03g,1.915g,0,0.185g,2.006g,51mg,66mg,0g,0g,0g,30.8g,0,22mg,1.92mg,410mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-1-8-fat),131,4.08g,1.508g,0,0.176g,1.641g,42mg,56mg,0g,0g,0g,22.09g,0,25mg,1.61mg,349mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-0-fat-cooked-broiled),212,9.67g,3.754g,0,0.359g,3.959g,73mg,61mg,0g,0g,0g,29.33g,0,22mg,1.89mg,368mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-0-fat-choice-grade-cooked-broiled),219,10.54g,4.09g,0,0.391g,4.314g,79mg,58mg,0g,0g,0g,29.02g,0,19mg,1.96mg,355mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-0-fat-select-grade-cooked-broiled),206,8.8g,3.417g,0,0.327g,3.604g,66mg,63mg,0g,0g,0g,29.65g,0,24mg,1.83mg,381mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-1-8-fat-select-grade),127,3.54g,1.307g,0,0.153g,1.422g,36mg,56mg,0g,0g,0g,22.27g,0,22mg,1.61mg,357mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-1-8-fat-select-grade-cooked-broiled),170,4.96g,1.889g,0,0.177g,1.98g,46mg,62mg,0g,0g,0g,29.34g,0,21mg,1.81mg,386mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-1-8-fat-cooked-broiled),178,5.84g,2.224g,0,0.208g,2.331g,55mg,61mg,0g,0g,0g,29.42g,0,19mg,1.87mg,376mg,0mcg,0mg
beef-top-sirloin-(lean-only-trimmed-to-1-8-fat-choice-grade-cooked-broiled),187,6.72g,2.56g,0,0.24g,2.684g,63mg,61mg,0g,0g,0g,29.51g,0,17mg,2.01mg,369mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat),201,12.71g,5.127g,0,0.483g,5.44g,47mg,52mg,0g,0g,0g,20.3g,0,24mg,1.48mg,315mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat-cooked-broiled),243,14.23g,5.603g,0,0.527g,5.93g,75mg,56mg,0g,0g,0g,26.96g,0,20mg,1.73mg,336mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat-choice-grade),214,14.28g,5.763g,0,0.543g,6.115g,52mg,51mg,0g,0g,0g,19.92g,0,25mg,1.46mg,309mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat-choice-grade-cooked-broiled),257,15.75g,6.202g,0,0.583g,6.564g,83mg,54mg,0g,0g,0g,26.8g,0,18mg,1.81mg,327mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat-choice-grade-cooked-pan-fried),313,21.06g,8.18g,0,1.71g,8.86g,98mg,71mg,0g,0g,0,28.77g,0,12mg,3.42mg,406mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat-select-grade),189,11.13g,4.491g,0,0.423g,4.765g,41mg,53mg,0g,0g,0g,20.68g,0,24mg,1.51mg,321mg,0mcg,0mg
beef-top-sirloin-(trimmed-to-1-8-fat-select-grade-cooked-broiled),230,12.71g,5.004g,0,0.471g,5.296g,67mg,57mg,0g,0g,0g,27.12g,0,22mg,1.66mg,345mg,0mcg,0mg
beef-vegetable-soup-(canned-condensed),63,1.51g,0.68g,0,0.09g,0.64g,4mg,631mg,8.11g,1.6g,0.89g,4.45g,0,13mg,0.89mg,138mg,155mcg,1.9mg
beef-variety-meats-and-by-products,276,23.52g,11.78g,0,0.76g,8.44g,209mg,57mg,0g,0g,0,14.97g,0,485mg,5.67mg,277mg,0mcg,0mg
beef-tripe,85,3.69g,1.291g,0.15g,0.18g,1.533g,122mg,97mg,0g,0g,0g,12.07g,0,69mg,0.59mg,67mg,0mcg,0mg
beef-tripe-(cooked-simmered),94,4.05g,1.357g,0.2g,0.208g,1.604g,157mg,68mg,1.99g,0g,0g,11.71g,0,81mg,0.66mg,42mg,0mcg,0mg
beef-with-vegetables-dinner-babyfood,96,6.93g,2.84g,0,0.9g,3.12g,12mg,23mg,6.36g,1.8g,2.16g,2.03g,0,19mg,0.33mg,127mg,222mcg,0mg
beef-vegetable-soup-(dry-dehydrated),344,7.2g,3.59g,0,0.29g,3.01g,8mg,6460mg,51.74g,1.8g,0,18.91g,0,84mg,5.51mg,483mg,77mcg,8.6mg
beef-vegetable-soup-(with-equal-volume-water-canned),32,0.78g,0.35g,0,0.05g,0.33g,2mg,324mg,4.17g,0.2g,0.57g,2.29g,0,7mg,0.46mg,71mg,39mcg,1mg
beef-vegetable-soup-(with-beef-broth-with-equal-volume-water-canned),34,0.79g,0.18g,0,0.33g,0.23g,1mg,336mg,5.44g,0.2g,1.31g,1.23g,0,7mg,0.4mg,80mg,43mcg,1mg
beef-vegetable-soup-(with-equal-volume-water-dehydrated),21,0.44g,0.22g,0,0.02g,0.18g,0mg,396mg,3.17g,0.2g,0.31g,1.16g,0,5mg,0.34mg,30mg,5mcg,0.5mg
beef-with-vegetables-and-barley-soup-(condensed-canned),61,1.4g,0.48g,0,0.098g,0.567g,6mg,707mg,8.2g,0,0,3.9g,0,0,0,0,0,0
beef-vegetable-soup-(condensed-canned),53,0.8g,0.231g,0,0.237g,0.176g,5mg,555mg,7.7g,0,0,3.8g,0,0,0,0,0,0
beef)-chicken-bologna-light-(pork-oscar-mayer,202,14.75g,5.62g,0,1.54g,7.3g,56mg,1117mg,5.7g,0g,2.6g,11.5g,0,50mg,1.39mg,163mg,0mcg,0mg
beef)-pork-bologna-(chicken-oscar-mayer,318,29.4g,10.49g,0,3.93g,14.48g,103mg,1033mg,2.4g,0g,1.4g,10.9g,0,69mg,1.78mg,154mg,0,0mg
beef)-chicken-sandwich-spread-(pork-oscar-mayer,237,16.6g,5.754g,0,2.483g,7.201g,45mg,821mg,15.4g,0.3g,7.9g,6.5g,0,27mg,0.8mg,118mg,0,0mg
beef)-turkey-wieners-(light-pork-oscar-mayer,194,14.9g,5.199g,0,2.044g,6.763g,62mg,1036mg,2.8g,0g,1.5g,12.1g,0,38mg,1.28mg,397mg,0,0mg
beet-greens,22,0.13g,0.02g,0,0.046g,0.026g,0mg,226mg,4.33g,3.7g,0.5g,2.2g,0,117mg,2.57mg,762mg,316mcg,30mg
beefalo-meat,143,4.8g,2.04g,0,0.15g,2.04g,44mg,78mg,0g,0g,0,23.3g,0,18mg,2.32mg,436mg,0mcg,7mg
beefalo-meat-(cooked-roasted),188,6.32g,2.68g,0,0.2g,2.68g,58mg,82mg,0g,0g,0,30.66g,0,24mg,3.05mg,459mg,0mcg,9mg
beet-greens-(with-salt-drained-cooked-boiled),27,0.2g,0.031g,0,0.071g,0.038g,0mg,477mg,5.46g,2.9g,0.6g,2.57g,0,114mg,1.9mg,909mg,383mcg,24.9mg
beet-greens-(without-salt-drained-cooked-boiled),27,0.2g,0.031g,0,0.07g,0.038g,0mg,241mg,5.46g,2.9g,0.6g,2.57g,0,114mg,1.9mg,909mg,383mcg,24.9mg
beets,43,0.17g,0.027g,0,0.061g,0.033g,0mg,78mg,9.56g,2.8g,6.76g,1.61g,0,16mg,0.8mg,325mg,2mcg,4.9mg
beets-(drained-cooked-boiled),44,0.18g,0.028g,0,0.064g,0.035g,0mg,77mg,9.96g,2g,7.96g,1.68g,0,16mg,0.79mg,305mg,2mcg,3.6mg
beets-(drained-solids-canned),31,0.14g,0.023g,0,0.051g,0.028g,0mg,194mg,7.21g,1.7g,5.51g,0.91g,0,15mg,1.82mg,148mg,1mcg,4.1mg
beets-(no-salt-added-solids-and-liquids-canned),28,0.07g,0.011g,0,0.025g,0.013g,0mg,21mg,6.57g,1.2g,5.38g,0.8g,0,13mg,0.63mg,142mg,1mcg,2.8mg
beets-(solids-and-liquids-canned),30,0.09g,0.011g,0,0.025g,0.013g,0mg,143mg,7.14g,1.2g,6.53g,0.73g,0,18mg,0.73mg,159mg,1mcg,2.8mg
beets-(with-salt-drained-cooked-boiled),44,0.18g,0.028g,0,0.064g,0.035g,0mg,285mg,9.96g,2g,7.96g,1.68g,0,16mg,0.79mg,305mg,2mcg,3.6mg
beluga-whale-meat-(air-dried-alaska-native),313,2.3g,0,0,0,0,0,0,0g,0,0,73.1g,0,28mg,0,0,0,0
beluga-whale-eyes-(alaska-native),291,23.3g,0,0,0,0,0,0,0.7g,0,0,19.6g,0,0,0,0,0,0
beluga-whale-meat-(alaska-native),111,0.5g,0,0,0,0,80mg,0,0g,0,0,26.5g,0,7mg,25.9mg,0,0,0
beluga-whale-flipper-(alaska-native),271,21.7g,0,0,0,0,0,0,0g,0,0,19g,0,11mg,2.8mg,0,0,0
beluga-whale-liver-(alaska-native),117,3.9g,0,0,0,0,0,0,2g,0,0,18.4g,0,11mg,0,0,0,0
beluga-whale-oil-(alaska-native),900,100g,0,0,0,0,0,0,0g,0,0,0g,0,0mg,0mg,0,0,0
berry-berry-kix-general-mills-cereals-ready-to-eat,393,4.3g,0.7g,0,0.957g,2.331g,0mg,593mg,87g,2.5g,31g,4g,3mcg,167mg,15mg,82mg,501mcg,20mg
berry-colossal-crunch-malt-o-meal-cereals-ready-to-eat,412,5.44g,0.091g,0.48g,0.63g,1.4g,1mg,823mg,85.9g,3.3g,41.3g,4.89g,0mcg,14mg,15.6mg,114mg,0mcg,3.6mg
big-mac-mcdonalds,257,14.96g,3.803g,0.588g,0.306g,3.474g,36mg,460mg,20.08g,1.6g,3.97g,11.82g,0,116mg,2mg,181mg,0,0.4mg
big-breakfast-mcdonalds,275,18.95g,5.018g,2.776g,2.427g,8.508g,177mg,549mg,17.65g,1g,0.8g,10.34g,0,50mg,1.9mg,206mg,64mcg,0.6mg
big-mac-(without-big-mac-sauce)-mcdonalds,234,11.57g,4.162g,0.644g,0.334g,3.802g,35mg,454mg,21.01g,1.7g,3.7g,12.79g,0,124mg,2.14mg,192mg,0,0.4mg
big-n-tasty-(without-mayonnaise)-mcdonalds,192,9.11g,3.155g,0.568g,0.231g,3.304g,31mg,309mg,17.44g,1.5g,3.96g,11.25g,0,69mg,1.97mg,212mg,0,2mg
big-n-tasty-mcdonalds,226,13.68g,3.726g,0.554g,2.995g,4.195g,33mg,317mg,16.6g,1.4g,3.79g,10.64g,0,65mg,1.88mg,200mg,0,1.9mg
big-n-tasty-with-cheese-(without-mayonnaise)-mcdonalds,201,10.36g,3.893g,0.63g,0.298g,3.518g,34mg,382mg,16.81g,1.4g,4g,11.59g,0,95mg,1.86mg,210mg,0,1.9mg
biscuit-with-egg,274,16.23g,3.477g,0,4.706g,6.671g,180mg,655mg,23.46g,0.6g,0,8.53g,0,60mg,2.13mg,175mg,132mcg,0.1mg
biscuit-with-egg-and-bacon,305,20.73g,5.3g,0,4.98g,8.96g,235mg,666mg,19.06g,0.5g,1.85g,11.33g,0,126mg,2.49mg,167mg,72mcg,1.8mg
biscuit-mcdonalds,345,15.36g,3.283g,7.073g,1.133g,9.424g,0mg,983mg,44.93g,1.5g,2.32g,6.24g,0,65mg,3.1mg,121mg,0mcg,0
big-n-tasty-with-cheese-mcdonalds,232,14.58g,4.387g,0.611g,2.891g,4.343g,37mg,387mg,16.06g,1.3g,3.83g,11g,0,91mg,1.78mg,199mg,0,1.8mg
bison-chuck-(shoulder-clod-lean-only-3-5-lb-roast-cooked-braised),193,5.43g,2.32g,0,0.255g,2.122g,111mg,57mg,0g,0g,0g,33.78g,0,7mg,4.86mg,316mg,0mcg,0mg
bison-chuck-(shoulder-clod-lean-only-3-5-lb-roast),119,3.15g,1.345g,0,0.148g,1.23g,64mg,62mg,0g,0g,0g,21.12g,0,5mg,2.88mg,353mg,0mcg,0mg
biscuit-with-egg-and-ham,240,14.08g,3.08g,0,4.01g,5.71g,156mg,720mg,18.31g,0.4g,1.61g,10.64g,0,115mg,2.37mg,166mg,123mcg,0mg
biscuit-with-egg-and-sausage,323,21.5g,8.32g,0,2.47g,9.11g,168mg,634mg,22.86g,0.5g,1.82g,10.64g,0,86mg,2.2mg,178mg,89mcg,0mg
biscuit-with-egg-and-steak,277,19.21g,5.81g,0,3.95g,7.91g,184mg,600mg,14.37g,0,0,12.12g,0,93mg,3.58mg,207mg,139mcg,0.1mg
biscuit-with-egg-cheese-and-bacon,331,21.8g,7.915g,0,2.427g,9.879g,181mg,875mg,23.21g,0,0,11.29g,0,114mg,1.77mg,160mg,132mcg,1.1mg
biscuit-with-ham,342,16.3g,10.096g,0,0.918g,4.277g,22mg,1268mg,38.75g,0.7g,2.78g,11.85g,0,142mg,2.41mg,174mg,27mcg,0.1mg
biscuit-with-sausage,391,25.63g,11.468g,0,2.44g,10.339g,28mg,864mg,32.29g,1.1g,2.32g,9.77g,0,103mg,2.08mg,160mg,10mcg,0.1mg
bison-meat-(lean-only),109,1.84g,0.69g,0,0.19g,0.72g,62mg,54mg,0g,0g,0,21.62g,0,6mg,2.6mg,343mg,0mcg,0mg
bison-meat-(lean-only-cooked-roasted),143,2.42g,0.91g,0,0.24g,0.95g,82mg,57mg,0g,0g,0g,28.44g,0,8mg,3.42mg,361mg,0mcg,0mg
bison-ribeye-(lean-only-trimmed-to-0-fat),116,2.4g,0.898g,0,0.192g,0.996g,62mg,48mg,0g,0,0,22.1g,0,6mg,2.8mg,344mg,1mcg,0mg
bison-shoulder-clod-(lean-only-trimmed-to-0-fat),109,2.1g,0.749g,0,0.217g,0.861g,66mg,59mg,0g,0,0,21.1g,0,4mg,3mg,322mg,1mcg,0mg
bison-ribeye-(lean-only-1-steak-cooked-broiled),177,5.67g,2.419g,0,0.266g,2.213g,79mg,52mg,0g,0g,0g,29.45g,0,7mg,2.88mg,371mg,0mcg,0mg
bison-top-round-(lean-only-1-steak),122,2.43g,1.039g,0,0.114g,0.95g,65mg,47mg,0g,0g,0g,23.32g,0,5mg,2.66mg,390mg,0mcg,0mg
bison-top-round-(lean-only-1-steak-cooked-broiled),174,4.96g,1.957g,0,0.215g,1.79g,85mg,41mg,0g,0g,0g,30.18g,0,5mg,3.52mg,382mg,0mcg,0mg
bison-top-sirloin-(lean-only-1-steak-cooked-broiled),171,5.65g,2.412g,0,0.266g,2.206g,86mg,53mg,0g,0g,0g,28.05g,0,5mg,3.47mg,387mg,0mcg,0mg
bite-size-kelloggs-frosted-mini-wheats-kellogg-cereals-ready-to-eat,344,1.6g,0.36g,0g,1g,0.24g,0mg,8mg,81g,10g,20.1g,10.1g,0,32mg,28mg,345mg,0mcg,0mg
bite-size-maple-and-brown-sugar-frosted-mini-wheats-kelloggs-cereals-ready-to-eat,356,1.5g,0.3g,0g,1g,0.2g,0mg,1mg,82g,9.6g,24g,8g,0,33mg,31.2mg,338mg,0mcg,0mg
bison-top-sirloin-(lean-only-trimmed-to-0-fat),113,2.4g,0.885g,0,0.217g,0.986g,71mg,51mg,0g,0,0,21.4g,0,5mg,3mg,335mg,1mcg,0mg
bit-o-honey-candy-chews-nestle-candies,400,7.5g,5g,0,0.624g,1.953g,0mg,300mg,81g,0g,47.5g,2.1g,0,50mg,0.29mg,126mg,0mcg,0mg
black-bean-soup-(canned-condensed),91,1.32g,0.34g,0,0.41g,0.48g,0mg,970mg,15.42g,6.8g,0.25g,4.83g,0,35mg,1.5mg,250mg,22mcg,0.2mg
black-bean-soup-(with-equal-volume-water-canned),49,0.64g,0.167g,0,0.199g,0.23g,0mg,507mg,8.38g,1.9g,1.25g,2.38g,0,19mg,0.91mg,116mg,10mcg,0.3mg
black-bean-with-pork-soup-(with-equal-volume-water-canned),73,2.51g,0.641g,0,0.769g,0.919g,1mg,402mg,9.63g,3.6g,1.26g,3.33g,0,34mg,0.87mg,170mg,19mcg,0.6mg
black-currants-(european),63,0.41g,0.034g,0,0.179g,0.058g,0mg,2mg,15.38g,0,0,1.4g,0,55mg,1.54mg,322mg,12mcg,181mg
black-and-red-caviar-(granular),252,17.9g,4.06g,0,7.405g,4.631g,588mg,1500mg,4g,0g,0g,24.6g,6mcg,275mg,11.88mg,181mg,561mcg,0mg
black-beans,341,1.42g,0.366g,0,0.61g,0.123g,0mg,5mg,62.36g,15.2g,2.25g,21.6g,0,123mg,5.02mg,1483mg,0mcg,0mg
black-beans-(mature-seeds-without-salt-cooked-boiled),132,0.54g,0.139g,0,0.231g,0.047g,0mg,1mg,23.71g,8.7g,0,8.86g,0,27mg,2.1mg,355mg,0mcg,0mg
black-beans-(mature-seeds-with-salt-cooked-boiled),132,0.54g,0.139g,0,0.231g,0.047g,0mg,237mg,23.71g,8.7g,0,8.86g,0,27mg,2.1mg,355mg,0mcg,0mg
black-pepper,255,3.26g,0.98g,0,1.13g,1.01g,0mg,44mg,64.81g,26.5g,0.64g,10.95g,0,437mg,28.86mg,1259mg,15mcg,21mg
black-turtle-soup-beans,339,0.9g,0.232g,0,0.387g,0.078g,0mg,9mg,63.25g,24.9g,2.25g,21.25g,0,160mg,8.7mg,1500mg,0mcg,0mg
black-turtle-soup-beans-(mature-seeds-without-salt-cooked-boiled),130,0.35g,0.089g,0,0.149g,0.03g,0mg,3mg,24.35g,5.3g,0.33g,8.18g,0,55mg,2.85mg,433mg,0mcg,0mg
black-turtle-soup-beans-(canned),91,0.29g,0.075g,0,0.125g,0.025g,0mg,384mg,16.56g,6.9g,0,6.03g,0,35mg,1.9mg,308mg,0mcg,2.7mg
black-turtle-soup-beans-(mature-seeds-with-salt-cooked-boiled),130,0.35g,0.089g,0,0.149g,0.03g,0mg,239mg,24.35g,5.3g,0,8.18g,0,55mg,2.85mg,433mg,0mcg,0mg
black-walnut-ice-box-archway-home-style-cookies,497,25.66g,6g,0,2.5g,9.37g,40mg,319mg,62g,1.2g,27.9g,5.25g,0,21mg,2.76mg,82mg,0,0mg
blackberries,43,0.49g,0.014g,0,0.28g,0.047g,0mg,1mg,9.61g,5.3g,4.88g,1.39g,0,29mg,0.62mg,162mg,11mcg,21mg
blackberries-(alaska-native),55,1g,0,0,0,0,0,1mg,10.9g,0,0,0.5g,0,5mg,0.2mg,0,0,0
blackberry-juice-(canned),38,0.6g,0.018g,0,0.344g,0.058g,0mg,1mg,7.8g,0.1g,7.7g,0.3g,0,12mg,0.48mg,135mg,8mcg,11.3mg
blackberries-(solids-and-liquids-heavy-syrup-canned),92,0.14g,0.005g,0,0.08g,0.014g,0mg,3mg,23.1g,3.4g,19.7g,1.31g,0,21mg,0.65mg,99mg,11mcg,2.8mg
blackberries-(unsweetened-frozen),64,0.43g,0.015g,0,0.245g,0.041g,0mg,1mg,15.67g,5g,10.67g,1.18g,0,29mg,0.8mg,140mg,6mcg,3.1mg
blanched-almonds,581,50.62g,3.89g,0,12.054g,32.287g,0mg,28mg,19.94g,10.4g,4.96g,21.94g,0,216mg,3.72mg,687mg,0mcg,0mg
blue-cheese,353,28.74g,18.669g,0,0.8g,7.778g,75mg,1395mg,2.34g,0g,0.5g,21.4g,0,528mg,0.31mg,256mg,198mcg,0mg
blue-and-roquefort-cheese-salad-dressing-(without-salt),504,52.3g,9.9g,0,0,0,17mg,30mg,7.4g,0g,0,4.8g,0,81mg,0.2mg,37mg,63mcg,2mg
blue-and-roquefort-cheese-salad-dressing,504,52.3g,9.9g,0,27.8g,12.3g,17mg,1094mg,7.4g,0g,3.6g,4.8g,0,81mg,0.2mg,37mg,67mcg,2mg
blood-sausage,379,34.5g,13.4g,0,3.46g,15.9g,120mg,680mg,1.29g,0g,1.29g,14.6g,0,6mg,6.4mg,38mg,0mcg,0mg
blanched-hazelnuts-or-filberts-nuts,629,61.15g,4.669g,0,5.558g,48.192g,0mg,0mg,17g,11g,3.49g,13.7g,0,149mg,3.3mg,658mg,2mcg,2mg
blue-crab,87,1.08g,0.222g,0,0.387g,0.192g,78mg,293mg,0.04g,0g,0,18.06g,0,89mg,0.74mg,329mg,2mcg,3mg
blue-corn-mush-with-ash-(navajo),54,0.49g,0.074g,0,0.208g,0.109g,0,8mg,11.74g,1.1g,0.19g,0.66g,0,96mg,2.92mg,58mg,0,0mg
blue-(navajo)-cornmeal,398,5.44g,0.886g,0,2.465g,1.679g,0,7mg,76.93g,8.7g,1.81g,10.4g,0,5mg,2.91mg,393mg,0,0mg
blue-crab-(cooked-moist-heat),102,1.77g,0.228g,0,0.68g,0.28g,100mg,279mg,0g,0g,0g,20.2g,0,104mg,0.91mg,324mg,2mcg,3.3mg
blue-crab-(canned),99,1.23g,0.252g,0,0.44g,0.218g,89mg,333mg,0g,0g,0g,20.52g,0,101mg,0.84mg,374mg,2mcg,2.7mg
blue-crab-cakes,155,7.52g,1.483g,0,2.273g,2.815g,150mg,330mg,0.48g,0g,0,20.21g,0,105mg,1.08mg,324mg,57mcg,2.8mg
blue-mussels,86,2.24g,0.425g,0,0.606g,0.507g,28mg,286mg,3.69g,0g,0g,11.9g,0,26mg,3.95mg,320mg,48mcg,8mg
blue-mussel-(cooked-moist-heat),172,4.48g,0.85g,0,1.212g,1.014g,56mg,369mg,7.39g,0g,0,23.8g,0,33mg,6.72mg,268mg,91mcg,13.6mg
